1,noMondayAm
2,noMondayPm
3,noTuesdayAm
4,noTuesdayPm
5,noWednesdayAm
6,noWednesdayPm
7,noThursdayAm
8,noThursdayPm
9,noFridayAm
10,noFridayPm
11,noSplitClasses
12,noLoyolaCampus
13,coop
14,allowSummerSemester
15,fallEntry
