id,tutorial_id,name,time_start,time_end,day,created_at,updated_at
67,337,HM,10:00,12:00,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
68,337,HN,12:15,14:15,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
69,338,DI,10:00,12:00,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
70,338,DJ,10:00,12:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
71,339,DK,10:00,12:00,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
72,339,DL,10:00,12:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
73,339,DM,18:00,20:15,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
74,373,SI,15:45,18:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
75,374,SK,15:45,18:25,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
76,375,MI,21:10,23:00,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
77,375,MJ,14:45,16:35,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
78,376,HI,15:45,17:30,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
79,377,NI,20:30,22:20,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
80,378,CI,08:45,11:30,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
81,378,CL,12:30,15:15,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
82,379,CJ,08:45,11:30,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
83,379,CK,08:45,11:30,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
84,380,TI,11:45,14:30,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
85,380,TJ,11:45,14:30,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
86,380,TK,08:45,11:30,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
87,381,VI,08:45,11:30,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
88,381,VJ,14:45,17:30,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
89,382,VK,14:45,17:30,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
90,382,VL,08:45,11:30,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
91,383,JI,08:45,11:30,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
92,383,JL,17:45,20:30,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
93,383,JM,17:45,20:30,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
94,384,JJ,08:45,11:30,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
95,384,JK,17:45,20:30,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
96,384,JN,17:45,20:30,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
