id,course_id,name,time_start,time_end,instructor,day_of_week,term
206,50,S,10:15,11:30,"RAJAGOPALAN JAYAKUMAR",--W-F--,Winter
207,51,F,10:15,11:30,"OLGA ORMANDJIEVA",--W-F--,Fall
208,52,S,11:45,13:00,"TIEN BUI",-T-J---,Winter
209,53,F,11:45,13:00,"STUART THIEL",M-W----,Fall
210,54,S,16:15,17:55,"NIKOLAOS TSANTALIS",M------,Winter
211,55,MM,17:45,20:15,"TERRILL FANCOTT",--W----,Fall
212,56,H,13:15,14:30,"RAJAGOPALAN JAYAKUMAR",-T-J---,Fall
213,59,NN,17:45,20:15,"SERGUEI MOKHOV",--W----,Winter
214,60,SS,18:25,19:25,"PETER RIGBY",----F--,Fall&Winter
215,66,S,16:15,17:30,"SAMAR ABDI",M-W----,Fall
216,62,XX,17:45,20:15,"YOUMIN ZHANG",---J---,Fall
217,63,X,14:45,17:45,"NARENDRA KUMAR GOLLU",M------,Fall
218,67,CC,11:45,14:15,"VENKATANARAYANA RAMACHANDRAN",-T-J---,Summer
219,67,T,11:45,13:00,"VENKATANARAYANA RAMACHANDRAN",--W-F--,Fall
220,67,V,8:45,10:00,"VENKATANARAYANA RAMACHANDRAN",-T-J---,Fall
221,67,JJ,17:45,20:15,"VENKATANARAYANA RAMACHANDRAN",-T-----,Winter
222,65,NN,17:45,20:15,"JOEY PAQUET",M------,Winter
225,0,name,time_start,time_end,instructor,day_of_week,term
