id,section_id,name,time_start,time_end,day,created_at,updated_at
68,26,SB,13:15,14:55,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
69,26,SC,08:20,10:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
70,27,TA,09:45,11:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
71,27,TB,09:45,11:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
72,27,TC,09:45,11:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
73,28,UA,09:45,11:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
74,28,UB,13:15,14:55,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
75,28,UC,09:45,11:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
76,29,VA,08:20,10:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
77,29,VB,08:20,10:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
78,29,VC,08:20,10:00,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
79,30,XA,14:15,15:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
80,30,XB,14:15,15:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
81,30,XC,14:15,15:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
82,31,TA,13:15,14:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
83,31,TB,13:15,14:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
84,32,VA,08:25,10:05,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
85,32,VB,08:25,10:05,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
86,33,XA,17:45,19:25,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
87,33,XB,17:45,19:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
88,34,YA,20:30,22:10,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
89,34,YB,20:30,22:10,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
90,35,JA,13:45,15:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
91,35,JB,13:45,15:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
92,36,LA,17:45,19:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
93,36,LB,17:45,19:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
94,37,AE,16:40,18:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
95,37,AF,13:00,14:40,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
96,37,AG,16:40,18:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
97,38,TA,11:45,13:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
98,38,TB,10:05,11:45,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
99,39,VA,14:45,16:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
100,39,VB,11:45,13:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
101,40,XA,11:45,13:25,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
102,40,XB,14:45,16:25,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
103,41,TE,20:30,22:10,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
104,41,TF,10:05,11:45,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
105,42,AE,16:30,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
106,42,AF,16:30,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
107,43,AG,16:30,18:20,M-W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
108,44,MA,13:15,15:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
109,44,MB,13:15,15:05,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
110,45,TA,14:45,16:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
111,45,TB,16:15,18:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
112,46,VA,14:45,16:35,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
113,46,VB,15:15,17:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
114,47,XA,16:15,18:05,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
115,47,XB,14:45,16:30,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
116,48,LA,17:45,19:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
117,48,LB,17:45,19:35,M------,"0000-00-00 00:00:00","0000-00-00 00:00:00"
118,54,VA,12:00,12:50,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
119,54,VB,12:00,12:50,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
120,50,CE,13:40,15:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
121,50,CF,13:40,15:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
122,50,CG,13:40,15:20,-T-J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
123,51,MA,16:15,17:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
124,51,MB,16:15,17:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
125,51,MC,11:45,13:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
126,53,TA,11:45,13:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
127,53,TB,16:15,17:55,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
128,53,TA,11:45,13:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
129,53,TB,11:45,13:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
130,54,VA,11:45,13:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
131,54,VB,11:45,13:25,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
132,55,XE,15:30,17:10,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
133,55,XF,15:30,17:10,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
134,56,FA,14:15,16:05,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
135,56,FB,14:15,16:05,-T-----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
136,57,UA,11:45,13:35,--W----,"0000-00-00 00:00:00","0000-00-00 00:00:00"
137,57,UB,11:45,13:35,----F--,"0000-00-00 00:00:00","0000-00-00 00:00:00"
138,71,AE,16:15,18:05,---J---,"0000-00-00 00:00:00","0000-00-00 00:00:00"
